Nested Section Name,Link
1202.02 - Registration of Trade Dress,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e835.html
1202.02(a) - Functionality of Trade Dress,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e873.html
1202.02(a)(i) - Statutory Basis for Functionality Refusal,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e888.html
1202.02(a)(ii) - Purpose of Functionality Doctrine,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e914.html
1202.02(a)(iii) - Background and Definitions,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e926.html
1202.02(a)(iii)(A) - Functionality,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e930.html
1202.02(a)(iii)(B) - “De Jure” and “De Facto” Functionality,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e962.html
1202.02(a)(iv) - Burden of Proof in Functionality Determinations,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1042.html
1202.02(a)(v) - Evidence and Considerations Regarding Functionality Determinations,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1063.html
1202.02(a)(v)(A) - Utility Patents and Design Patents,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1151.html
"1202.02(a)(v)(B) - Advertising, Promotional, or Explanatory Material in Functionality Determinations",https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1212.html
1202.02(a)(v)(C) - Availability of Alternative Designs in Functionality Determinations,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1232.html
1202.02(a)(v)(D) - Ease or Economy of Manufacture in Functionality Determinations,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1281.html
1202.02(a)(vi) - Aesthetic Functionality,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1300.html
1202.02(a)(vii) - Functionality and Service Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1327.html
1202.02(a)(viii) - Functionality and Non-Traditional Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1347.html
1202.02(b) - Distinctiveness of Trade Dress,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1367.html
1202.02(b)(i) - Distinctiveness and Product Design Trade Dress,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1385.html
1202.02(b)(ii) - Distinctiveness and Product Packaging Trade Dress,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1424.html
"1202.02(c) - Drawings, Descriptions, and Disclaimers in Trade Dress Applications",https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1479.html
1202.02(c)(i) - Drawings of Trade Dress Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1487.html
1202.02(c)(i)(A) - Functional Matter,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d2241b_2109c_230.html
1202.02(c)(i)(B) - Nondistinctive Matter,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d2241b_232a4_bd.html
1202.02(c)(i)(C) - Drawings in §44 and §66(a) Applications,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d2241b_23731_1b3.html
1202.02(c)(ii) - Descriptions of Trade Dress Marks Required,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1524.html
1202.02(c)(iii) - Disclaimers of Unregistrable Elements of Trade Dress Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1584.html
1202.02(c)(iii)(A) - Functional Matter,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d2241c_1718d_150.html
1202.02(c)(iii)(B) - Nondistinctive Matter,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d2241c_17386_7c.html
1202.02(c)(iv) - Three-Dimensional Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1620.html
1202.02(d) - Trade Dress in §1(b) Applications,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1629.html
1202.02(e) - Trade Dress in §44 and §66(a) Applications,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1654.html
1202.02(f) - Identification of Goods/Services in Trade Dress Applications,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120202f.html
1202.02(f)(i) - Product Design,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120202fi.html
1202.02(f)(ii) - Product Packaging,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120202fii.html
1202.03 - Refusal on Basis of Ornamentation,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1688.html
1202.03(a) - Commercial Impression,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1728.html
1202.03(b) - Practices of the Trade,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1745.html
1202.03(c) - “Secondary Source”,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1773.html
1202.03(d) - Evidence of Distinctiveness,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1825.html
"1202.03(e) - Ornamentation with Respect to §1(b), §44, and §66(a) Applications",https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1842.html
1202.03(f) - Ornamentation: Case References,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1853.html
1202.03(f)(i) - Slogans or Words Used on the Goods,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1859.html
1202.03(f)(ii) - Designs Used on the Goods,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1884.html
1202.03(f)(iii) - Trade Dress on the Containers for the Goods,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1901.html
1202.03(g) - Ornamentation Cases and Acquired Distinctiveness,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1915.html
1202.04 - Informational Matter,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1927.html
1202.04(a) - General Information About the Goods or Services,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d29b4b_25a07_1eb.html
1202.04(b) - Widely Used Messages,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d29b4b_25b93_92.html
1202.04(c) - Matter from Religious Texts,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d29b4b_25bbe_bd.html
1202.04(d) - Response Options,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d29b4b_25bec_b4.html
1202.05 - Color as a Mark,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1975.html
1202.05(a) - Color Marks Never Inherently Distinctive,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2025.html
1202.05(b) - Functional Color Marks Not Registrable,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2081.html
1202.05(c) - Color as a Separable Element,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2146.html
1202.05(d) - Drawings of Color Marks Required,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2169.html
1202.05(d)(i) - Drawings of Color Marks in Trademark Applications,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2175.html
1202.05(d)(ii) - Drawings of Color Marks in Service Mark Applications,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2193.html
1202.05(d)(iii) - Amendment of Drawings of Color Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2239.html
1202.05(d)(iv) - Drawings for Marks Including Both Color and Words or Design,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2245.html
1202.05(e) - Written Descriptions of Color Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2251.html
1202.05(f) - Specimens for Color Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2281.html
1202.05(g) - Special Considerations for Service Mark Applications,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2300.html
1202.05(h) - Color Marks in §1(b) Applications,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2321.html
1202.05(i) - Color Marks in §44 or §66(a) Applications,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2338.html
1202.06 - Goods in Trade,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2360.html
1202.06(a) - Goods Must Have Utility to Others,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2381.html
1202.06(b) - Registration Must Be Refused if Trademark Not Used on Goods in Trade,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2415.html
"1202.06(c) - Goods in Trade in §1(b), §44, and §66(a) Applications",https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2425.html
"1202.07 - Marks That Identify Columns, Sections, and Supplements of Publications",https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2436.html
"1202.07(a) - Marks That Identify Columns, Sections, and Supplements of Printed, Downloadable, or Recorded Publications in §1(a) Applications",https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2440.html
1202.07(a)(i) - Syndicated Columns and Sections in §1(a) Applications,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2467.html
1202.07(a)(ii) - Non-Syndicated Columns and Sections in §1(a) Applications,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2473.html
"1202.07(a)(iii) - Marks That Identify Columns and Sections of Printed, Downloadable, or Recorded Publications in §1(b), §44, and §66(a) Applications",https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2496.html
1202.07(b) - Marks That Identify Columns and Sections of Online Publications,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2507.html
1202.08 - Title of a Single Creative Work,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2517.html
1202.08(a) - What Constitutes a Single Creative Work,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2542.html
1202.08(b) - What Does Not Constitute a Single Creative Work,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2551.html
1202.08(c) - Complete Title of the Work – Evidence of a Series,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2566.html
1202.08(d) - Portion of a Title of the Work,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2574.html
1202.08(d)(i) - Mark Must Create a Separate Commercial Impression,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2586.html
1202.08(d)(ii) - Establishing a Series When the Mark is a Portion of the Title,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2592.html
1202.08(d)(iii) - Evidence that the Portion of the Title is Promoted or Recognized as a Mark,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2598.html
1202.08(e) - Identification of Goods/Services,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2604.html
"1202.08(f) - Title of a Single Work in §1(b), §44, and §66(a) Applications",https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2621.html
1202.09 - Names of Artists and Authors,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2634.html
1202.09(a) - Names and Pseudonyms of Authors and Performing Artists,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2638.html
1202.09(a)(i) - Author or Performer’s Name – Evidence of a Series,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2659.html
1202.09(a)(ii) - Evidence that the Name is a Source Identifier,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2667.html
1202.09(a)(ii)(A) - Promotion and Recognition of the Name,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2687.html
1202.09(a)(ii)(B) - Control over the Nature and Quality of the Goods,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2693.html
"1202.09(a)(iii) - Names of Authors and Performing Artists in §1(b), §44, and §66(a) Applications",https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2708.html
1202.09(b) - Names of Artists Used on Original Works of Art,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2723.html
1202.10 - Names and Designs of Characters in Creative Works,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2735.html
"1202.10(a) - Names and Designs of Characters in Creative Works in §1(b), §44, or §66(a) Applications",https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2761.html
1202.11 - Background Designs and Shapes,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2776.html
1202.12 - Varietal and Cultivar Names (Examination of Applications for Seeds and Plants),https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2820.html
"1202.13 - Scent, Fragrance, or Flavor",https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2882.html
1202.14 - Holograms,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2911.html
1202.15 - Sound Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e2927.html
1202.16 - Model or Grade Designations,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e3027.html
1202.16(a) - Examination of Marks with Model and Grade Designations,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_2717c_1d6.html
1202.16(b) - Identifying Model and Grade Designations in Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_29cc0_1a9.html
1202.16(b)(i) - Model Designations,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_2751e_3b1.html
1202.16(b)(i)(A) - Stylization of Display,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_29ccc_37e.html
1202.16(b)(i)(B) - Size of Proposed Mark,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_29cd0_1b9.html
1202.16(b)(i)(C) - Physical Location,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_29cd3_3.html
1202.16(b)(ii) - Grade Designations,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_29cd6_2a3.html
1202.16(c) - Procedures for Handling Marks with Model and Grade Designations,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_29cda_1b9.html
1202.16(c)(i) - Evidentiary Considerations when Issuing Model or Grade Designation Refusals,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_29cdc_33f.html
1202.16(c)(i)(A) - Model Designations,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_29cdf_de.html
1202.16(c)(i)(B) - Grade Designations,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_29ce2_1a9.html
1202.16(c)(ii) - Entire Mark Consists of Model or Grade Designation in §1(a) Applications,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_29ce5_284.html
1202.16(c)(iii) - Composite Mark with Model or Grade Designation in §1(a) Applications,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_29ceb_35f.html
1202.16(c)(iii)(A) - Model or Grade Designations with Arbitrary and/or Suggestive Matter,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_29cee_2b3.html
"1202.16(c)(iii)(B) - Model or Grade Designations with Descriptive, Generic, and/or Informational Matter",https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_29cf2_320.html
1202.16(c)(iv) - Drawing and Specimen Agreement Issues in §1(a) Applications,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_29cf6_23.html
"1202.16(c)(v) - Model or Grade Designation in §1(b), §44, or §66(a) Applications",https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_29d24_fe.html
1202.16(c)(v)(A) - Model Designations,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_29d27_15b.html
1202.16(c)(v)(B) - Grade Designations,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1b219_29d2b_1f8.html
1202.17 - Universal Symbols in Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217.html
1202.17(a) - Relevance of Universal Symbols to Examination,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217a.html
1202.17(b) - Reviewing Marks Containing Symbols,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217b.html
1202.17(b)(i) - Identifying Universal Symbols in Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217bi.html
1202.17(b)(ii) - Marks Displaying an Unusual Depiction of a Universal Symbol,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217bii.html
1202.17(b)(iii) - Marks Displaying an Accurate Depiction of a Universal Symbol,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217biii.html
1202.17(c) - Failure to Function,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217c.html
1202.17(c)(i) - Determining Whether a Universal Symbol Functions as a Source Indicator,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217ci.html
1202.17(c)(i)(A) - Informational Universal Symbols,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217ciA.html
1202.17(c)(i)(B) - Ornamental Universal Symbols,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217ciB.html
1202.17(c)(ii) - Mark Consists Entirely of a Universal Symbol that Fails to Function,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217cii.html
"1202.17(c)(ii)(A) - Applications Based on Sections 1(b), 44, or 66(a)",https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217ciiA.html
1202.17(c)(ii)(B) - Applicant’s Response to Refusal,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217ciiB.html
1202.17(c)(iii) - Mark Includes a Universal Symbol that Fails to Function,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217ciii.html
1202.17(d) - Other Relevant Refusals,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217d.html
1202.17(d)(i) - Merely Descriptive,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217di.html
1202.17(d)(ii) - Deceptive or Deceptively Misdescriptive,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217dii.html
1202.17(e) - Universal Symbols Commonly Appearing in Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217e.html
1202.17(e)(i) - Awareness Ribbon Symbols,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217ei.html
1202.17(e)(ii) - Recycling Symbol,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217eii.html
"1202.17(e)(iii) - Caduceus, Rod of Asclepius, and Prescription Symbol",https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217eiii.html
1202.17(e)(iv) - Religious Symbols,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217eiv.html
1202.17(e)(v) - Currency Symbols,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217ev.html
1202.17(e)(vi) - Universal Prohibition Symbol,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-120217evi.html
1202.18 - Hashtag Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d1ff5e_1b5ad_3bc.html
1202.18(a) - Disclaiming HASHTAG or Hash Symbol,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d2723e_1c300_1d9.html
1202.18(b) - Marks Consisting Solely of HASHTAG or Hash Symbol,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d2723e_1fc09_52.html
1202.19 - Repeating-Pattern Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d24d81_13d65_2b9.html
1202.19(a) - Drawing Requirements for Repeating-Pattern Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d24d81_20c09_364.html
1202.19(a)(i) - Mark Used on a Single Item,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d24d81_20d7e_2e8.html
1202.19(a)(ii) - Mark Used in a Similar Manner on Similar Items,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d24d81_20f7e_20f.html
1202.19(a)(iii) - Mark Used in Various Ways or on Various Items ─ Swatch-Type Drawings,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d24d81_21026_28d.html
1202.19(a)(iv) - Drawings for Service Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d24d81_211d0_2e2.html
1202.19(b) - Mark Descriptions for Repeating-Pattern Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d24d81_22316_39c.html
1202.19(c) - Material Alteration of Repeating-Pattern Marks,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d24d81_224de_3b3.html
1202.19(c)(i) - Amending the Drawing to Depict a Different Object,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d24d81_22612_ee.html
1202.19(c)(ii) - Amending a Swatch-Type Drawing to Show an Object and Vice Versa,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d24d81_226e9_219.html
1202.19(c)(iii) - Amending the Drawing to Depict a Different Placement of the Repeating Pattern,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d24d81_227a0_1e0.html
